AccessID,CustomerID,AccessDate,AccessTime,PageVisited,Duration,DeviceType,Browser,IPAddress,ReferralSource,ActionPerformed
3209,6208,2024-02-25,21:43:10,author,3543,Mobile,Edge,213.250.139.169,suddenly,show
6810,998,2024-04-26,09:06:48,privacy,810,Tablet,Safari,128.85.84.5,get,join
515,4879,2024-05-17,12:57:17,privacy,2602,Desktop,Opera,18.128.237.15,black,group
9770,5546,2024-01-19,13:32:32,terms,859,Desktop,Chrome,209.44.191.36,coach,fall
2606,3447,2024-04-09,18:14:36,author,572,Desktop,Firefox,98.63.120.58,choice,player
9284,548,2024-06-23,00:20:11,login,2090,Tablet,Opera,113.184.92.95,hair,here
655,2790,2024-03-05,17:03:00,category,3193,Mobile,Firefox,187.90.220.156,picture,general
8507,4846,2024-01-28,23:00:10,login,773,Tablet,Firefox,91.49.153.251,dream,mean
3033,7417,2024-06-07,14:33:30,homepage,2195,Tablet,Safari,143.167.118.125,quite,cold
5776,4220,2024-04-10,11:24:19,homepage,1050,Mobile,Opera,27.190.160.66,now,way
93,4485,2024-04-15,19:16:35,author,2300,Desktop,Opera,205.186.36.24,simple,leader
8459,6142,2024-02-23,10:56:31,about,2914,Desktop,Edge,76.182.100.7,all,may
4312,2733,2024-05-25,15:05:36,privacy,3481,Mobile,Opera,211.1.40.214,practice,perhaps
3887,7247,2024-06-13,09:46:24,privacy,2381,Mobile,Safari,168.131.12.225,today,blue
8453,5019,2024-03-26,06:50:55,author,2107,Tablet,Edge,126.194.112.88,serious,century
9345,9977,2024-05-25,17:30:10,about,327,Tablet,Edge,182.222.100.96,enter,maybe
7171,9412,2024-02-20,05:39:46,register,2612,Desktop,Chrome,41.1.2.128,task,general
6009,456,2024-01-12,05:45:40,register,2307,Desktop,Chrome,69.54.31.139,scientist,base
2275,8201,2024-01-16,22:10:07,terms,2050,Mobile,Firefox,17.200.176.215,south,nature
2276,4037,2024-07-05,05:41:42,privacy,1083,Desktop,Safari,48.39.0.183,open,through
1557,8323,2024-04-12,10:22:29,search,1445,Mobile,Edge,33.186.183.63,air,thought
330,7188,2024-02-08,17:40:27,post,307,Tablet,Firefox,198.126.237.252,school,myself
4352,9507,2024-02-03,08:13:37,main,1001,Desktop,Chrome,199.83.109.72,paper,the
5306,2603,2024-04-26,18:26:41,main,1877,Mobile,Chrome,218.212.0.239,number,exactly
7532,1946,2024-06-26,23:20:59,index,952,Tablet,Edge,41.83.94.190,always,center
485,6442,2024-03-13,03:08:07,terms,2510,Desktop,Safari,55.141.81.80,protect,since
9598,9512,2024-02-11,15:46:23,login,1741,Desktop,Chrome,13.194.5.23,sell,not
3557,5900,2024-05-31,02:20:42,homepage,1281,Mobile,Firefox,206.92.217.244,treat,market
9053,5861,2024-03-30,12:20:00,post,2727,Tablet,Opera,111.81.242.244,account,why
4373,7727,2024-05-25,06:43:57,main,3388,Tablet,Edge,67.61.95.63,show,court
7602,1178,2024-03-24,17:53:39,privacy,1951,Mobile,Edge,203.20.178.226,activity,world
4055,1462,2024-04-04,22:40:56,home,1249,Mobile,Edge,208.51.31.119,positive,likely
3568,7051,2024-05-07,10:39:26,author,2054,Desktop,Firefox,196.115.54.124,him,yeah
5449,8607,2024-03-31,09:21:01,terms,3504,Mobile,Firefox,78.162.135.80,scene,join
9910,8777,2024-05-16,22:40:53,search,3131,Tablet,Firefox,128.33.141.2,area,pattern
462,4176,2024-04-01,04:18:40,faq,2500,Mobile,Firefox,77.145.43.226,loss,wall
2745,1248,2024-02-01,21:51:46,index,244,Tablet,Firefox,124.208.28.65,peace,picture
2722,3420,2024-01-06,11:19:55,login,1896,Desktop,Chrome,105.152.19.189,one,kitchen
3383,6616,2024-04-12,14:41:25,home,1226,Desktop,Edge,96.202.230.211,news,society
3166,3897,2024-04-09,08:35:29,register,891,Tablet,Firefox,50.242.255.196,water,investment
5583,4066,2024-05-03,14:36:16,register,2124,Tablet,Edge,3.168.148.30,source,rise
6738,7368,2024-05-26,02:45:59,index,898,Tablet,Firefox,223.212.234.188,raise,age
1163,9315,2024-03-06,15:03:54,privacy,1619,Tablet,Edge,125.92.252.248,single,ago
9701,8201,2024-05-16,03:14:09,terms,3563,Mobile,Chrome,102.24.243.162,trial,Democrat
9149,4172,2024-07-03,10:27:56,privacy,1111,Mobile,Opera,215.69.173.167,would,class
630,8112,2024-04-11,03:41:59,search,2039,Tablet,Opera,26.103.128.170,behind,live
2867,3005,2024-05-10,09:40:41,index,87,Desktop,Chrome,143.134.196.112,government,law
9175,5267,2024-04-26,13:54:06,homepage,3277,Mobile,Safari,182.100.121.124,six,police
4445,5579,2024-02-05,11:06:27,about,62,Tablet,Edge,189.122.36.169,seat,school
8880,7557,2024-03-12,08:24:30,category,1765,Tablet,Firefox,218.140.65.52,notice,success
6509,404,2024-04-06,11:41:03,homepage,1084,Tablet,Chrome,195.68.149.184,there,task
1341,2654,2024-03-02,05:34:10,faq,2120,Desktop,Opera,179.142.28.168,treat,store
6618,6246,2024-03-05,00:11:32,main,2982,Desktop,Opera,16.167.88.200,grow,likely
1431,6804,2024-03-22,18:54:47,terms,3304,Tablet,Firefox,151.215.62.249,radio,when
6401,1832,2024-07-01,09:16:19,main,1119,Tablet,Edge,54.116.238.95,sometimes,personal
1882,3812,2024-04-30,10:18:53,category,634,Desktop,Opera,191.9.196.193,position,fly
3809,5003,2024-04-13,10:20:38,home,1420,Desktop,Chrome,94.139.62.239,group,second
2573,2864,2024-01-12,06:16:35,post,2118,Mobile,Safari,217.27.138.181,develop,best
2032,4514,2024-06-13,11:05:49,author,3031,Mobile,Edge,155.61.60.75,figure,summer
7267,5907,2024-03-01,17:17:33,home,560,Tablet,Chrome,53.170.93.8,identify,himself
2456,3795,2024-04-12,15:48:28,category,2660,Tablet,Firefox,173.197.238.57,state,thousand
5891,2586,2024-03-12,16:17:22,register,453,Tablet,Safari,176.93.106.208,edge,another
1856,6454,2024-01-03,08:50:03,homepage,768,Mobile,Firefox,221.178.236.82,different,fact
2878,4313,2024-03-13,20:36:54,category,215,Tablet,Edge,32.204.105.13,not,analysis
4723,2501,2024-05-11,18:38:47,faq,2322,Desktop,Opera,121.93.195.179,group,everybody
340,9813,2024-05-19,09:53:47,about,3483,Tablet,Firefox,66.2.88.56,seem,section
1076,68,2024-05-10,04:20:23,post,2576,Tablet,Safari,150.27.96.199,direction,more
3820,7782,2024-04-22,10:07:41,category,434,Tablet,Opera,196.22.47.112,send,hospital
720,9245,2024-03-10,02:20:35,faq,3598,Mobile,Opera,21.9.152.40,into,out
5983,2637,2024-04-23,10:56:46,register,2436,Mobile,Opera,69.32.40.61,hair,after
435,2559,2024-06-27,06:02:00,register,1462,Mobile,Chrome,42.242.214.250,level,trial
150,8661,2024-06-15,03:10:47,main,244,Tablet,Safari,161.99.123.74,age,best
1246,9875,2024-02-09,09:24:01,category,938,Tablet,Firefox,7.170.134.234,federal,become
7462,4215,2024-05-12,09:52:08,faq,3029,Mobile,Chrome,63.1.214.170,until,popular
3548,3528,2024-03-02,03:50:53,about,1262,Tablet,Opera,155.201.128.43,remain,head
5849,9394,2024-04-08,10:21:27,author,3386,Mobile,Opera,166.246.32.235,major,end
3886,5129,2024-05-07,17:37:53,category,2270,Mobile,Chrome,126.84.155.234,outside,family
3398,6919,2024-05-10,07:46:27,about,2889,Desktop,Chrome,120.93.246.160,truth,question
7506,4480,2024-04-06,18:03:41,about,2645,Desktop,Opera,153.139.3.69,activity,meet
415,9394,2024-05-20,16:24:18,homepage,3441,Desktop,Safari,78.73.106.160,she,stock
1160,7629,2024-05-18,18:11:18,terms,1149,Tablet,Chrome,174.67.61.179,weight,through
8318,8143,2024-01-01,14:04:51,privacy,1908,Desktop,Firefox,205.86.250.150,lot,middle
9202,8614,2024-04-25,08:06:28,post,1627,Mobile,Opera,84.150.203.84,official,step
6328,7289,2024-06-10,17:57:59,post,2208,Desktop,Edge,133.137.107.107,back,painting
6697,2675,2024-05-12,02:19:54,register,1461,Desktop,Chrome,176.60.179.206,eye,series
913,3135,2024-02-15,14:12:29,search,3121,Tablet,Opera,99.3.240.44,area,for
571,6142,2024-05-08,00:48:08,home,639,Desktop,Edge,120.36.104.158,with,example
1853,4172,2024-02-02,21:52:28,faq,228,Mobile,Chrome,86.192.22.163,industry,sea
803,1045,2024-06-12,14:58:37,home,2164,Tablet,Safari,77.73.249.58,trial,believe
1723,3916,2024-04-30,07:28:38,post,639,Desktop,Edge,92.34.32.48,local,lead
3833,4919,2024-01-17,02:42:47,faq,2122,Desktop,Safari,8.19.125.234,dog,art
8088,2936,2024-03-19,01:26:28,faq,1367,Desktop,Opera,143.216.104.42,trade,understand
5498,997,2024-03-08,15:17:25,login,2016,Desktop,Opera,54.53.63.157,act,type
7504,8467,2024-01-19,16:47:13,category,2032,Mobile,Chrome,87.223.21.130,hear,six
3512,4879,2024-03-01,09:30:25,faq,129,Mobile,Edge,199.228.176.139,word,character
2063,1685,2024-02-03,21:53:55,main,2730,Tablet,Firefox,111.231.193.101,artist,nice
9351,7573,2024-05-02,14:02:51,author,3544,Desktop,Opera,125.235.52.233,other,entire
2180,8171,2024-01-28,04:40:53,register,1894,Tablet,Firefox,75.158.11.70,fly,final
3242,7726,2024-03-01,15:14:09,login,1562,Tablet,Chrome,55.170.29.152,wait,play
7418,4721,2024-02-10,15:21:04,register,483,Mobile,Edge,56.35.149.118,exactly,word
2569,4597,2024-07-03,22:37:23,faq,1694,Mobile,Firefox,222.7.9.195,mother,arm
2799,517,2024-07-01,00:11:02,home,1791,Desktop,Opera,151.152.252.158,indicate,quality
8198,4846,2024-01-22,21:49:42,home,1313,Tablet,Chrome,18.102.177.201,ball,fund
1943,5336,2024-02-08,06:47:25,main,660,Desktop,Safari,1.108.90.45,sure,range
6397,2687,2024-01-26,11:29:40,login,1251,Desktop,Edge,121.47.97.180,able,defense
1406,2040,2024-04-30,10:15:52,faq,1932,Desktop,Chrome,109.236.8.56,nature,appear
6858,7187,2024-07-09,09:50:28,homepage,2531,Desktop,Firefox,99.228.215.0,far,economy
7758,158,2024-05-26,03:38:25,homepage,2000,Tablet,Safari,8.62.135.81,couple,item
2509,6243,2024-04-26,22:38:33,terms,2142,Desktop,Edge,205.47.217.129,blue,matter
4376,2186,2024-06-19,14:28:32,faq,2952,Mobile,Chrome,145.37.106.23,issue,security
8997,1280,2024-03-31,06:13:13,privacy,2557,Tablet,Edge,184.61.145.100,leader,artist
8091,4579,2024-01-17,18:44:01,privacy,669,Tablet,Chrome,76.208.8.119,ready,particular
4331,6621,2024-03-08,08:14:52,post,2631,Desktop,Edge,90.23.26.144,impact,discover
5259,8815,2024-01-06,20:46:40,author,2620,Tablet,Opera,89.78.243.163,he,affect
3202,1947,2024-04-20,19:04:32,homepage,1617,Mobile,Firefox,52.220.113.129,consumer,level
1099,5411,2024-06-29,01:03:17,about,802,Tablet,Chrome,94.231.8.92,model,hope
4561,3580,2024-05-26,13:40:39,post,2883,Mobile,Opera,162.223.19.150,peace,little
4731,6907,2024-04-12,02:03:27,register,3204,Mobile,Safari,6.184.150.92,out,statement
7218,4922,2024-06-10,10:12:41,login,2417,Tablet,Firefox,138.142.160.16,important,control
1754,8,2024-02-12,05:29:07,post,931,Desktop,Opera,22.24.162.205,share,and
9957,9682,2024-03-14,21:39:13,home,3269,Desktop,Edge,99.230.36.164,fill,quality
7349,1025,2024-01-01,14:07:19,category,3310,Desktop,Chrome,207.160.97.8,just,main
6149,749,2024-02-09,03:45:21,search,1957,Mobile,Firefox,78.162.198.247,six,painting
3207,4919,2024-05-22,15:36:30,login,2873,Mobile,Chrome,94.114.68.201,human,world
3915,6725,2024-01-02,06:42:49,post,1730,Desktop,Edge,59.33.190.242,wall,fish
7958,1562,2024-02-24,01:12:41,faq,1827,Tablet,Opera,186.79.165.9,land,think
5802,9811,2024-06-12,22:24:16,post,1795,Tablet,Opera,197.86.143.109,suddenly,manager
8316,2356,2024-02-12,04:43:02,login,1606,Desktop,Opera,55.244.243.234,Democrat,try
9308,7289,2024-02-10,20:09:42,privacy,97,Mobile,Edge,134.71.246.79,sound,technology
3757,4739,2024-03-16,21:47:35,search,681,Tablet,Safari,117.241.162.1,identify,those
264,5436,2024-01-19,13:11:30,privacy,1061,Tablet,Firefox,197.103.163.212,knowledge,discuss
7856,4783,2024-03-16,05:39:31,register,1282,Mobile,Opera,18.210.75.159,bring,teach
1576,1275,2024-07-08,23:36:20,register,2153,Mobile,Firefox,191.253.244.186,indeed,nice
6988,5918,2024-04-15,14:24:21,index,1709,Tablet,Opera,163.86.140.148,miss,base
3518,1991,2024-05-22,16:47:51,post,1602,Desktop,Opera,22.204.87.244,sense,adult
3970,516,2024-04-21,16:53:49,main,450,Mobile,Chrome,221.51.180.183,purpose,similar
3965,3283,2024-06-22,05:10:01,login,1286,Desktop,Firefox,83.14.28.24,whose,how
9940,6692,2024-01-05,23:49:56,faq,2126,Mobile,Chrome,190.237.1.101,hear,how
195,8614,2024-06-26,08:12:45,index,3169,Desktop,Chrome,216.227.77.147,season,need
9296,1659,2024-01-01,18:18:38,terms,1527,Mobile,Opera,156.206.198.1,thing,sound
7561,8838,2024-02-14,03:22:15,terms,511,Desktop,Firefox,212.247.176.117,what,American
7105,3389,2024-05-19,15:51:40,author,3165,Mobile,Edge,158.196.132.116,bit,sometimes
1269,9751,2024-02-12,09:28:02,main,1349,Tablet,Firefox,156.126.200.201,do,future
2897,538,2024-03-20,13:07:36,homepage,1009,Desktop,Edge,199.179.8.181,happy,father
7344,425,2024-01-10,20:39:56,homepage,1012,Mobile,Edge,73.140.80.46,much,once
9979,6215,2024-01-16,22:43:01,index,2622,Desktop,Opera,70.251.19.76,choose,leg
8076,7756,2024-02-14,11:13:58,category,2570,Desktop,Safari,141.202.196.128,join,never
2470,1988,2024-07-07,09:14:11,faq,1303,Mobile,Chrome,115.57.233.114,rate,road
8918,6087,2024-02-27,10:06:49,author,1007,Tablet,Firefox,157.157.70.121,great,north
3036,9365,2024-06-01,10:42:06,login,3142,Tablet,Opera,41.169.165.109,under,establish
8035,5454,2024-01-11,03:11:22,register,2650,Mobile,Chrome,152.245.56.189,sense,throw
3635,9388,2024-01-16,15:10:01,post,1565,Mobile,Safari,58.191.200.156,laugh,seek
7570,4946,2024-06-21,21:05:14,index,1846,Mobile,Edge,135.2.81.131,ground,debate
1057,7478,2024-02-14,13:10:38,faq,1712,Desktop,Safari,38.102.17.16,follow,decide
1053,5517,2024-06-17,09:35:44,faq,1774,Desktop,Edge,104.223.185.91,section,better
4902,7051,2024-07-01,22:05:33,search,39,Tablet,Chrome,100.152.115.238,note,give
5779,3276,2024-05-07,10:08:46,home,2077,Tablet,Firefox,85.112.198.216,financial,wait
1640,6173,2024-01-10,09:36:56,register,2478,Desktop,Edge,130.170.58.220,easy,child
32,358,2024-05-17,11:07:03,faq,1980,Tablet,Opera,120.119.95.155,friend,time
5489,9194,2024-06-01,01:22:13,index,2006,Tablet,Safari,131.207.220.29,some,remember
7406,4721,2024-01-18,02:49:25,search,1105,Desktop,Safari,31.203.143.134,end,rate
9349,3636,2024-05-19,15:11:40,main,1178,Mobile,Firefox,26.118.45.26,instead,recognize
4076,1462,2024-01-21,02:34:53,terms,1549,Mobile,Safari,217.110.9.142,lead,before
7453,6780,2024-01-21,18:23:10,category,3097,Mobile,Chrome,43.226.135.149,it,look
4916,8898,2024-06-03,01:19:04,terms,2962,Tablet,Firefox,52.72.149.147,general,inside
1450,2926,2024-04-05,10:39:59,privacy,2176,Desktop,Edge,187.162.112.110,for,set
